,StkIndx,STInt,dtdlevel,dtdtrend,liqnonfinlevel,liqnonfintrend,ni2talevel,ni2tatrend,sizelevel,sizetrend,m2b,sigma,DTDmedianNonFin,Date
count,97381.0,97381.0,92114.0,92114.0,90168.0,90168.0,97381.0,97381.0,97381.0,97381.0,97381.0,97381.0,97381.0,97381
mean,0.06428562676146861,-0.005428205991895929,4.389687041593112,-0.02663721483899426,0.46390911513539246,0.0022746588381483313,0.01392707149794174,0.006432166602151507,0.4820140042997951,-0.02478303533489431,5.473755137760349,0.17251391632937652,3.806438938282053,2012-01-10 01:21:31.336092160
min,-0.247360122,-0.011628052,0.6076290739986284,-2.145232346,-0.706834307,-0.566069219,-0.034920608,-0.021028697,-2.92909051,-0.641217028,0.4982987125001943,0.060185741,2.054241760167322,2000-01-31 00:00:00
25%,-0.01130715,-0.011365507,2.015259101176301,-0.670382525,-0.08202774225000001,-0.14744516075,-0.003917846,-0.002437525,-0.874668179,-0.185890127,0.7676621219662871,0.098361437,2.969203029071211,2006-09-30 00:00:00
50%,0.096765177,-0.007939299,3.3983073410404656,-0.0211470825,0.3378715145593736,-0.003773996,0.002504215,0.000272846,0.5243723022491706,-0.009198383,1.0366396991628335,0.1447030380044988,3.9269153638922254,2012-02-29 00:00:00
75%,0.1535636405191194,-0.00223651,5.154351717776555,0.5506056890678936,0.8945628624502887,0.1127581192993056,0.007484899,0.004339762,1.828284135486816,0.155361505,1.5626449645623752,0.2167332543711596,4.599984618815481,2017-04-30 00:00:00
max,0.2812915369017474,0.009813098,118.3169675450618,15.157937864166378,4.789012003321936,2.712453108696314,0.2298649537976352,0.1062428275427292,3.870103038952392,0.5120229380813229,74.56283930379611,0.4314916808270633,5.182963919397121,2023-12-31 00:00:00
std,0.1406673219246685,0.007200313079341246,5.862846017666539,1.1982400414692918,0.7983348672642843,0.325265671467685,0.05652123761127978,0.026003686144644947,1.8824999345823403,0.2868206439912306,16.50534206516885,0.09872193662918324,0.9434568137853164,
